id;name;latitude;longitude;delivery;opened;price
1;initiative;5866;85868;true;false;12855
2;primary;11205;61234;true;true;67216
3;enterprise Buckinghamshire embrace;65338;36185;false;false;76446
4;invoice Dynamic;9502;88690;true;false;90366
5;synthesizing Orchestrator;41851;93197;false;false;14613
6;deposit Internal payment;6731;80334;false;false;80729
7;Personal Loan Account Awesome;24474;72997;true;false;99685
8;productize alliance Optimization;28308;28394;true;true;15506
9;transmit synergy Holy See (Vatican City State);28750;90651;true;true;19626
10;Niue Computer;66405;2340;true;true;82105
